5.298317367 1.21550604, 1.226418993, 1.311301382, 1.213725096, 1.205341867, 1.215802556        				
5.991464547  2.66937867, 2.622347059, 2.694829863, 2.641126616, 2.628140818, 2.630520999  				
6.396929655  3.503422989, 3.483759989, 3.434761099, 3.453410253, 3.480193388, 3.458805694   				
6.684611728  4.017913381, 4.038232659, 4.012682489, 4.012827157, 4.007278638, 4.020141714	   				
6.907755279 4.432612804, 4.432458308, 4.431947112, 4.43547261, 4.431423757, 4.432553385   			
7.090076836 4.840874519, 4.829073449, 4.848790647, 4.827937667, 4.855352863, 4.876814336 			
7.244227516 5.20612532, 5.180164262, 5.16445449, 5.170423179, 5.139116456, 5.136703909			
7.377758908 5.404473066, 5.396255907, 5.401721971, 5.402785484, 5.404126781, 5.422493258			
7.495541944 5.672969253, 5.673622192, 5.674357097, 5.674720915, 5.686052897, 5.693375173           
7.60090246 5.884402585, 5.888803163, 5.886698299, 5.906198011, 5.875537288, 5.842163754			
